Match,Result,,,,,Event,Edition,Date/time,Round/game,Restreamer/location,,HW,AW,HM,AM,,,
27,HARRY,2,0,BEN MULLEN,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,7,7,,ALFALFA,ALAN
28,THOR,2,0,JESSE KELKAR,,CTWC,2010,08/08/2010 23:00:00,Semi-Final,"Los Angeles, California",,1,0,7,7,,ALLENBOT,ALDEN
29,JONAS,2,0,HARRY,,CTWC,2010,09/08/2010 00:00:00,Final,"Los Angeles, California",,1,0,8,8,,ALLY_OK,ALECAT
30,ALEX KERR,2,1,DANA WILCOX,,CTWC,2011,16/10/2011 20:00:00,Round 1,"Los Angeles, California",,1,0,1,8,,ALPHABETH,ALEJODIOS
31,HARRY,2,0,BUCO,,CTWC,2011,16/10/2011 20:00:00,Round 1,"Los Angeles, California",,1,0,9,8,,ALWIN,ALEX (HONG KONG)
32,JONAS,2,0,ELI MARKSTROM,,CTWC,2011,16/10/2011 20:00:00,Round 1,"Los Angeles, California",,1,0,9,1,,AMJ,ALEX H
33,ROBIN MIHARA,2,0,BEN MULLEN,,CTWC,2011,16/10/2011 20:00:00,Round 1,"Los Angeles, California",,1,0,1,8,,ANCHIKAI,ALEX KERR
34,ALEX KERR,2,1,HARRY,,CTWC,2011,16/10/2011 21:00:00,Semi-Final,"Los Angeles, California",,1,0,2,10,,ANDMIND,ALEX STROESCU
35,JONAS,2,0,ROBIN MIHARA,,CTWC,2011,16/10/2011 21:00:00,Semi-Final,"Los Angeles, California",,1,0,10,2,,ANDRE,ALEX THACH
36,JONAS,2,0,ALEX KERR,,CTWC,2011,16/10/2011 22:00:00,Final,"Los Angeles, California",,1,0,11,3,,ANDREW,ALFALFA
37,HARRY,2,1,STEVEN HUGHES,,CTWC,2012,30/09/2012 18:00:00,Round 1,"Portland, Oregon",,1,0,11,1,,ANDREY,ALLENBOT
38,TREY HARRISON,2,0,VINCE,,CTWC,2012,30/09/2012 18:00:00,Round 1,"Portland, Oregon",,1,0,8,1,,ANDREY K,ALLY_OK
39,RIGEL PEARCE,0,2,KEVIN BIRRELL,,CTWC,2012,30/09/2012 18:20:00,Round 1,"Portland, Oregon",,0,1,1,1,,ANGELO666,ALOHAAXE
40,ROBIN MIHARA,2,0,JON BAKER,,CTWC,2012,30/09/2012 18:20:00,Round 1,"Portland, Oregon",,1,0,3,1,,ANGRYCOLER,ALPHABETH
41,ALEX KERR,2,0,NATHAN GRAYBEAL,,CTWC,2012,30/09/2012 18:40:00,Round 1,"Portland, Oregon",,1,0,4,1,,ANGRYRORO,ALWIN
42,BEN MULLEN,2,0,BOB JENKINS,,CTWC,2012,30/09/2012 18:40:00,Round 1,"Portland, Oregon",,1,0,9,1,,ANGUS,AMJ
43,BO STEIL,2,0,LOUIE SKOUIE,,CTWC,2012,30/09/2012 19:00:00,Round 1,"Portland, Oregon",,1,0,1,1,,ANICOMI,ANCHIKAI
44,DANA WILCOX,2,0,SHAWN SCHWARTZ,,CTWC,2012,30/09/2012 19:00:00,Round 1,"Portland, Oregon",,1,0,9,1,,ANID,ANDMIND
45,JONAS,2,0,JACK SLATER,,CTWC,2012,30/09/2012 19:20:00,Round 1,"Portland, Oregon",,1,0,12,1,,ANNA D,ANDRE
46,MIKE WINZINEK,2,0,DAIN ANDERSON,,CTWC,2012,30/09/2012 19:20:00,Round 1,"Portland, Oregon",,1,0,1,1,,ANOMALOUS,ANDREY
47,CHRIS BRADY,2,1,STEVE HILL,,CTWC,2012,30/09/2012 19:40:00,Round 1,"Portland, Oregon",,1,0,1,1,,ANXIECHRIS,ANDREY K
48,QUAID,2,0,PAUL FUJITA,,CTWC,2012,30/09/2012 19:40:00,Round 1,"Portland, Oregon",,1,0,1,1,,ARBARO,ANGEL
49,ELI MARKSTROM,2,0,TERRY PURCELL,,CTWC,2012,30/09/2012 20:00:00,Round 1,"Portland, Oregon",,1,0,2,1,,ARCHINA,ANGRYCOLER
50,JESSE KELKAR,2,0,CHRIS EXTINE,,CTWC,2012,30/09/2012 20:00:00,Round 1,"Portland, Oregon",,1,0,8,1,,ARCHNASH,ANGRYRORO
51,BUCO,2,1,SHAKIL ASSI,,CTWC,2012,30/09/2012 20:20:00,Round 1,"Portland, Oregon",,1,0,9,1,,ARD1998,ANICOMI
52,JOSH TOLLES,2,1,RYAN RITCHIE,,CTWC,2012,30/09/2012 20:20:00,Round 1,"Portland, Oregon",,1,0,1,1,,ARDEN,ANID
53,ALEX KERR,2,0,ROBIN MIHARA,,CTWC,2012,30/09/2012 20:40:00,Round 2,"Portland, Oregon",,1,0,5,4,,ARMSTRONG,ANNA D
54,QUAID,2,1,TREY HARRISON,,CTWC,2012,30/09/2012 20:40:00,Round 2,"Portland, Oregon",,1,0,2,9,,ARTUR,ANOMALOUS
55,BUCO,1,2,JOSH TOLLES,,CTWC,2012,30/09/2012 21:00:00,Round 2,"Portland, Oregon",,0,1,10,2,,ASMADI,ANXIECHRIS
56,HARRY,2,1,KEVIN BIRRELL,,CTWC,2012,30/09/2012 21:00:00,Round 2,"Portland, Oregon",,1,0,12,2,,ASTA,APROPERDOG
57,ELI MARKSTROM,2,0,JESSE KELKAR,,CTWC,2012,30/09/2012 21:20:00,Round 2,"Portland, Oregon",,1,0,3,9,,ASUNARU,ARBARO
58,MIKE WINZINEK,2,0,DANA WILCOX,,CTWC,2012,30/09/2012 21:20:00,Round 2,"Portland, Oregon",,1,0,2,10,,ATALITO,ARCANTIUSX
59,BEN MULLEN,1,2,BO STEIL,,CTWC,2012,30/09/2012 21:40:00,Round 2,"Portland, Oregon",,0,1,10,2,,ATKOSTER,ARCHINA
60,JONAS,2,0,CHRIS BRADY,,CTWC,2012,30/09/2012 21:40:00,Round 2,"Portland, Oregon",,1,0,13,2,,AURORA,ARCHNASH
61,BO STEIL,0,2,MIKE WINZINEK,,CTWC,2012,30/09/2012 22:00:00,Quarter-Final,"Portland, Oregon",,0,1,3,3,,AVGEEK,ARCTICXC
62,JONAS,2,0,QUAID,,CTWC,2012,30/09/2012 22:00:00,Quarter-Final,"Portland, Oregon",,1,0,14,3,,AVOGADRUU,ARD1998
63,ELI MARKSTROM,2,0,JOSH TOLLES,,CTWC,2012,30/09/2012 22:20:00,Quarter-Final,"Portland, Oregon",,1,0,4,3,,AWNING_GUY,ARMON
64,HARRY,1,2,ALEX KERR,,CTWC,2012,30/09/2012 22:20:00,Quarter-Final,"Portland, Oregon",,0,1,13,6,,AZN_ANTHONY,ARMSTRONG
65,ALEX KERR,0,2,MIKE WINZINEK,,CTWC,2012,30/09/2012 22:40:00,Semi-Final,"Portland, Oregon",,0,1,7,4,,B14NK,ARTUR
66,JONAS,2,1,ELI MARKSTROM,,CTWC,2012,30/09/2012 22:40:00,Semi-Final,"Portland, Oregon",,1,0,15,5,,BACON AND PIE,ASMADI
67,JONAS,3,0,MIKE WINZINEK,,CTWC,2012,30/09/2012 23:00:00,Final,"Portland, Oregon",,1,0,16,5,,BAKADRIAN,ASTA
68,BEN MULLEN,2,0,VINCE,,CTWC,2013,06/10/2013 18:00:00,Round 1,"Portland, Oregon",,1,0,11,2,,BALAAGE,ASTROPHYSICIAN
69,DAVID VULICH,2,0,STEVEN HUGHES,,CTWC,2013,06/10/2013 18:00:00,Round 1,"Portland, Oregon",,1,0,1,2,,BANJO26,ASUNARU
70,ALEX KERR,0,2,SHAKIL ASSI,,CTWC,2013,06/10/2013 18:20:00,Round 1,"Portland, Oregon",,0,1,8,2,,BAO,ATALITO
71,JOSH TOLLES,2,1,RYAN RITCHIE,,CTWC,2013,06/10/2013 18:20:00,Round 1,"Portland, Oregon",,1,0,4,2,,BARD_OW,AURORA
72,JANI,2,0,RIGEL PEARCE,,CTWC,2013,06/10/2013 18:40:00,Round 1,"Portland, Oregon",,1,0,1,2,,BATFOY,AVGEEK
73,TERRY PURCELL,0,2,MIKE WINZINEK,,CTWC,2013,06/10/2013 18:40:00,Round 1,"Portland, Oregon",,0,1,2,6,,BBFORKY,AWNING_GUY
74,BUCO,2,0,DANNY VULICH,,CTWC,2013,06/10/2013 19:00:00,Round 1,"Portland, Oregon",,1,0,11,1,,BEA,AYDEN
75,CHRIS BRADY,2,0,DANA WILCOX,,CTWC,2013,06/10/2013 19:00:00,Round 1,"Portland, Oregon",,1,0,3,11,,BEADLE,AZN_ANTHONY
76,JONAS,2,0,DAIN ANDERSON,,CTWC,2013,06/10/2013 19:20:00,Round 1,"Portland, Oregon",,1,0,17,2,,BEASTINSHEN,B14NK
77,TREY HARRISON,2,0,CHRIS EXTINE,,CTWC,2013,06/10/2013 19:20:00,Round 1,"Portland, Oregon",,1,0,10,2,,BEN MULLEN,BACON AND PIE
78,JAKE STEIN,0,2,BOB JENKINS,,CTWC,2013,06/10/2013 19:40:00,Round 1,"Portland, Oregon",,0,1,1,2,,BENDY1,BAKADRIAN
79,ROBIN MIHARA,2,0,CHRIS BIDWELL,,CTWC,2013,06/10/2013 19:40:00,Round 1,"Portland, Oregon",,1,0,5,1,,BENFAMIR,BALAAGE
80,DAVID VULICH,1,2,TREY HARRISON,,CTWC,2013,06/10/2013 20:00:00,Round 2,"Portland, Oregon",,0,1,2,11,,BENJY,BANJO26
81,JONAS,2,0,MIKE WINZINEK,,CTWC,2013,06/10/2013 20:00:00,Round 2,"Portland, Oregon",,1,0,18,7,,BENN,BAO
82,CHAD MUSE,2,1,CHRIS BRADY,,CTWC,2013,06/10/2013 20:20:00,Round 2,"Portland, Oregon",,1,0,1,4,,BENNOLCK,BARD_OW
83,ROBIN MIHARA,0,2,JOSH TOLLES,,CTWC,2013,06/10/2013 20:20:00,Round 2,"Portland, Oregon",,0,1,6,5,,BEPO,BATFOY
84,HARRY,2,0,BOB JENKINS,,CTWC,2013,06/10/2013 20:40:00,Round 2,"Portland, Oregon",,1,0,14,3,,BERGTROLL,BBFORKY
85,QUAID,1,2,BUCO,,CTWC,2013,06/10/2013 20:40:00,Round 2,"Portland, Oregon",,0,1,4,12,,BETASTREP,BEA
86,BEN MULLEN,2,0,BO STEIL,,CTWC,2013,06/10/2013 21:00:00,Round 2,"Portland, Oregon",,1,0,12,4,,BIG_RED,BEASTINSHEN
87,SHAKIL ASSI,1,2,JANI,,CTWC,2013,06/10/2013 21:00:00,Round 2,"Portland, Oregon",,0,1,3,2,,BIGGIEMAC,BEN C
88,BUCO,2,1,TREY HARRISON,,CTWC,2013,06/10/2013 21:20:00,Quarter-Final,"Portland, Oregon",,1,0,13,12,,BIGLEWWI,BEN MULLEN
89,CHAD MUSE,2,1,JOSH TOLLES,,CTWC,2013,06/10/2013 21:20:00,Quarter-Final,"Portland, Oregon",,1,0,2,6,,BIGPILE,BENDY1
90,HARRY,2,0,JANI,,CTWC,2013,06/10/2013 21:40:00,Quarter-Final,"Portland, Oregon",,1,0,15,3,,BIGSIPPY,BENFAMIR
91,JONAS,2,1,BEN MULLEN,,CTWC,2013,06/10/2013 21:40:00,Quarter-Final,"Portland, Oregon",,1,0,19,13,,BIRBWIZARD,BENJY
92,HARRY,2,0,BUCO,,CTWC,2013,06/10/2013 22:00:00,Semi-Final,"Portland, Oregon",,1,0,16,14,,BISBY,BENN
93,JONAS,2,0,CHAD MUSE,,CTWC,2013,06/10/2013 22:00:00,Semi-Final,"Portland, Oregon",,1,0,20,3,,BLAARG,BENNOLCK
94,JONAS,3,2,HARRY,,CTWC,2013,06/10/2013 22:20:00,Final,"Portland, Oregon",,1,0,21,17,,BLACKCAT,BENNY
95,JONAS,2,0,TREY HARRISON,,CTWC,2014,19/10/2014 18:00:00,Round 1,"Portland, Oregon",,1,0,22,13,,BLAKEGONG,BEPO
96,MIKE WINZINEK,2,0,VINCE,,CTWC,2014,19/10/2014 18:00:00,Round 1,"Portland, Oregon",,1,0,8,3,,BLARGMEISTER,BERGTROLL
97,BO STEIL,2,0,STEVEN HUGHES,,CTWC,2014,19/10/2014 18:20:00,Round 1,"Portland, Oregon",,1,0,5,3,,BLAUWALBUBE,BETASTREP
98,TERRY PURCELL,2,1,RYAN RITCHIE,,CTWC,2014,19/10/2014 18:20:00,Round 1,"Portland, Oregon",,1,0,3,3,,BLAZECC,BH180
99,ELI MARKSTROM,2,0,PATRICK NYFFELER,,CTWC,2014,19/10/2014 18:40:00,Round 1,"Portland, Oregon",,1,0,6,1,,BLAZIER,BIG_RED
100,QUAID,2,0,RIGEL PEARCE,,CTWC,2014,19/10/2014 18:40:00,Round 1,"Portland, Oregon",,1,0,5,3,,BLUE SCUTI,BIGGIEMAC
101,CHRIS BRADY,2,0,JON BAKER,,CTWC,2014,19/10/2014 19:00:00,Round 1,"Portland, Oregon",,1,0,5,2,,BLUEBOB,BIGLEWWI
102,JEFF,2,1,KRISTEN STEIN,,CTWC,2014,19/10/2014 19:00:00,Round 1,"Portland, Oregon",,1,0,1,1,,BMAC,BIGPILE
103,BEN MULLEN,2,0,JASON SIMONEAUX,,CTWC,2014,19/10/2014 19:20:00,Round 1,"Portland, Oregon",,1,0,14,1,,BO STEIL,BIGSIPPY
104,HARRY,2,0,GRANT SIEFKER,,CTWC,2014,19/10/2014 19:20:00,Round 1,"Portland, Oregon",,1,0,18,1,,BOBBY,BIRBWIZARD
105,BUCO,0,2,DANA WILCOX,,CTWC,2014,19/10/2014 19:40:00,Round 1,"Portland, Oregon",,0,1,15,12,,BOWSER,BISBY
106,JAKE STEIN,2,0,FRANK WESTPHAL,,CTWC,2014,19/10/2014 19:40:00,Round 1,"Portland, Oregon",,1,0,2,1,,BOXIE,BLAARG
107,JOSH TOLLES,2,0,CHRIS EXTINE,,CTWC,2014,19/10/2014 20:00:00,Round 1,"Portland, Oregon",,1,0,7,3,,BREAKFASTNOODLES,BLACKCAT
108,SCHOOLMASTER,2,0,CHAD MUSE,,CTWC,2014,19/10/2014 20:00:00,Round 1,"Portland, Oregon",,1,0,1,4,,BREANDAN,BLAKEGONG
109,JANI,0,2,CAMERON EURE,,CTWC,2014,19/10/2014 20:20:00,Round 1,"Portland, Oregon",,0,1,4,1,,BRIAN,BLARGMEISTER
110,ROBIN MIHARA,0,2,ALEX KERR,,CTWC,2014,19/10/2014 20:20:00,Round 1,"Portland, Oregon",,0,1,7,9,,BRIAN PELLEGRINI,BLAUWALBUBE
111,CHRIS BRADY,2,1,MIKE WINZINEK,,CTWC,2014,19/10/2014 20:40:00,Round 2,"Portland, Oregon",,1,0,6,9,,BRIAN W,BLAZECC
112,JONAS,2,0,SCHOOLMASTER,,CTWC,2014,19/10/2014 20:40:00,Round 2,"Portland, Oregon",,1,0,23,2,,BRIANC,BLAZIER
113,BO STEIL,2,0,JAKE STEIN,,CTWC,2014,19/10/2014 21:00:00,Round 2,"Portland, Oregon",,1,0,6,3,,BRICE P,BLUE SCUTI
114,HARRY,2,0,JEFF,,CTWC,2014,19/10/2014 21:00:00,Round 2,"Portland, Oregon",,1,0,19,2,,BRIGHTON,BLUEBOB
115,JOSH TOLLES,2,0,BEN MULLEN,,CTWC,2014,19/10/2014 21:20:00,Round 2,"Portland, Oregon",,1,0,8,15,,BRODINDAMP,BMAC
116,TERRY PURCELL,2,0,DANA WILCOX,,CTWC,2014,19/10/2014 21:20:00,Round 2,"Portland, Oregon",,1,0,4,13,,BRYANMENDES,BO STEIL
117,CAMERON EURE,1,2,ELI MARKSTROM,,CTWC,2014,19/10/2014 21:40:00,Round 2,"Portland, Oregon",,0,1,2,7,,BTYPE,BOATSNJOES
118,QUAID,0,2,ALEX KERR,,CTWC,2014,19/10/2014 21:40:00,Round 2,"Portland, Oregon",,0,1,6,10,,BUBBLE,BOB JENKINS
119,BO STEIL,1,2,HARRY,,CTWC,2014,19/10/2014 22:00:00,Quarter-Final,"Portland, Oregon",,0,1,7,20,,BUCO,BORKEDBEAR
120,TERRY PURCELL,2,0,JOSH TOLLES,,CTWC,2014,19/10/2014 22:00:00,Quarter-Final,"Portland, Oregon",,1,0,5,9,,BUDDY,BOSSROSS
121,ALEX KERR,1,2,ELI MARKSTROM,,CTWC,2014,19/10/2014 22:20:00,Quarter-Final,"Portland, Oregon",,0,1,11,8,,BULESKANE,BOT_1985
122,JONAS,2,0,CHRIS BRADY,,CTWC,2014,19/10/2014 22:20:00,Quarter-Final,"Portland, Oregon",,1,0,24,7,,BULLSEYE,BOWSER
123,JONAS,2,0,TERRY PURCELL,,CTWC,2014,19/10/2014 22:40:00,Semi-Final,"Portland, Oregon",,1,0,25,6,,BURKE,BOXIE
124,ELI MARKSTROM,0,2,HARRY,,CTWC,2014,19/10/2014 23:00:00,Semi-Final,"Portland, Oregon",,0,1,9,21,,BURRITODAD,BREAKFASTNOODLES
125,HARRY,3,1,JONAS,,CTWC,2014,19/10/2014 23:20:00,Final,"Portland, Oregon",,1,0,22,26,,BUTTERED,BREANDAN
126,CHAD MUSE,2,1,VINCE,,CTWC,2015,18/10/2015 18:00:00,Round 1,"Portland, Oregon",,1,0,5,4,,BXNSHY,BREANDAN (DAS)
127,TERRY PURCELL,2,0,STEVEN HUGHES,,CTWC,2015,18/10/2015 18:00:00,Round 1,"Portland, Oregon",,1,0,7,4,,C-B-A-,BREN CHI
128,BO STEIL,2,0,RYAN RITCHIE,,CTWC,2015,18/10/2015 18:20:00,Round 1,"Portland, Oregon",,1,0,8,4,,C-DUBS,BRENT W
129,JONAS,2,0,ROBIN MIHARA,,CTWC,2015,18/10/2015 18:20:00,Round 1,"Portland, Oregon",,1,0,27,8,,CALCULATINGPOET,BRIAN
130,JANI,2,0,RIGEL PEARCE,,CTWC,2015,18/10/2015 18:40:00,Round 1,"Portland, Oregon",,1,0,5,4,,CALIMANX,BRIAN GLESSNER
131,TREY HARRISON,0,2,MIKE WINZINEK,,CTWC,2015,18/10/2015 18:40:00,Round 1,"Portland, Oregon",,0,1,14,10,,CAMEELHABIB,BRIAN W
132,ALEX KERR,2,0,CRAFTEEKIM,,CTWC,2015,18/10/2015 19:00:00,Round 1,"Portland, Oregon",,1,0,12,1,,CAMERON EURE,BRIANC
133,DANA WILCOX,1,2,METALBEAST,,CTWC,2015,18/10/2015 19:00:00,Round 1,"Portland, Oregon",,0,1,14,1,,CARDEK,BRIGHTON
134,CHRIS BRADY,2,0,JASON SIMONEAUX,,CTWC,2015,18/10/2015 19:20:00,Round 1,"Portland, Oregon",,1,0,8,2,,CARELESS,BRODINDAMP
135,DANNY VULICH,0,2,JOEY PARKER,,CTWC,2015,18/10/2015 19:20:00,Round 1,"Portland, Oregon",,0,1,2,1,,CASEY,BRYANMENDES
136,BUCO,2,0,GIN MORGAN,,CTWC,2015,18/10/2015 19:40:00,Round 1,"Portland, Oregon",,1,0,16,1,,CASTE,BTYPE
137,DAVID VULICH,2,0,FRANK WESTPHAL,,CTWC,2015,18/10/2015 19:40:00,Round 1,"Portland, Oregon",,1,0,3,2,,CASUALLY PWNING,BUBBLE
138,JEFF,2,0,CHRIS EXTINE,,CTWC,2015,18/10/2015 20:00:00,Round 1,"Portland, Oregon",,1,0,3,4,,CAZ HOAD,BUCO
139,SCHOOLMASTER,2,1,CAMERON EURE,,CTWC,2015,18/10/2015 20:00:00,Round 1,"Portland, Oregon",,1,0,3,3,,CCHRISTM,BULESKANE
140,HARRY,2,0,BRIAN GLESSNER,,CTWC,2015,18/10/2015 20:20:00,Round 1,"Portland, Oregon",,1,0,23,1,,CHAD,BURKE
141,QUAID,2,0,ADAM CORNELIUS,,CTWC,2015,18/10/2015 20:20:00,Round 1,"Portland, Oregon",,1,0,7,1,,CHAD MUSE,BURRITODAD
142,BO STEIL,2,0,SCHOOLMASTER,,CTWC,2015,18/10/2015 20:40:00,Round 2,"Portland, Oregon",,1,0,9,4,,CHARKRA,BUTTERED
143,QUAID,2,1,JANI,,CTWC,2015,18/10/2015 20:40:00,Round 2,"Portland, Oregon",,1,0,8,6,,CHARLESSPARKLEY,BXNSHY
144,CHRIS BRADY,1,2,CHAD MUSE,,CTWC,2015,18/10/2015 21:00:00,Round 2,"Portland, Oregon",,0,1,9,6,,CHEEZ,C-B-A-
145,JONAS,2,0,METALBEAST,,CTWC,2015,18/10/2015 21:00:00,Round 2,"Portland, Oregon",,1,0,28,2,,CHEFGOBES,C-DUBS
146,HARRY,2,0,MIKE WINZINEK,,CTWC,2015,18/10/2015 21:20:00,Round 2,"Portland, Oregon",,1,0,24,11,,CHENZIXUAN,C.N.GEEK
147,TERRY PURCELL,2,0,DAVID VULICH,,CTWC,2015,18/10/2015 21:20:00,Round 2,"Portland, Oregon",,1,0,8,4,,CHESSJERK,C3DL
148,ALEX KERR,2,1,JOEY PARKER,,CTWC,2015,18/10/2015 21:40:00,Round 2,"Portland, Oregon",,1,0,13,2,,CHIDORI,CALCULATINGPOET
149,JEFF,0,2,BUCO,,CTWC,2015,18/10/2015 21:40:00,Round 2,"Portland, Oregon",,0,1,4,17,,CHILLER,CALIMANX
150,HARRY,2,0,BUCO,,CTWC,2015,18/10/2015 22:00:00,Quarter-Final,"Portland, Oregon",,1,0,25,18,,CHIRPINGMATT,CAMEELHABIB
151,JONAS,2,0,TERRY PURCELL,,CTWC,2015,18/10/2015 22:00:00,Quarter-Final,"Portland, Oregon",,1,0,29,9,,CHODELERON,CAMERON EURE
152,ALEX KERR,2,0,CHAD MUSE,,CTWC,2015,18/10/2015 22:20:00,Quarter-Final,"Portland, Oregon",,1,0,14,7,,CHONG,CARDEK
153,BO STEIL,1,2,QUAID,,CTWC,2015,18/10/2015 22:20:00,Quarter-Final,"Portland, Oregon",,0,1,10,9,,CHRIS (CANADA),CARELESS
154,HARRY,0,2,QUAID,,CTWC,2015,18/10/2015 22:40:00,Semi-Final,"Portland, Oregon",,0,1,26,10,,CHRIS BARB,CASEY
155,ALEX KERR,1,2,JONAS,,CTWC,2015,18/10/2015 23:00:00,Semi-Final,"Portland, Oregon",,0,1,15,30,,CHRIS BIDWELL,CASUALLY PWNING
156,JONAS,3,1,QUAID,,CTWC,2015,18/10/2015 23:20:00,Final,"Portland, Oregon",,1,0,31,11,,CHRIS BRADY,CCHRISTM
157,JONAS,2,0,VINCE,,GDQ Hotfix,2016,09/10/2016 20:00:00,Round 1,Classictetris,,1,0,32,5,,CHRIS FORYST,CHAD
158,QUAID,2,1,HARRY,,GDQ Hotfix,2016,09/10/2016 20:00:00,Round 1,Classictetris,,1,0,12,27,,CHRIS H,CHAD MUSE
159,HARRY,2,1,VINCE,,GDQ Hotfix,2016,09/10/2016 20:30:00,Losers Round 1,Classictetris,,1,0,28,6,,CHRIS JARZYNA,CHARKRA
160,JONAS,2,1,QUAID,,GDQ Hotfix,2016,09/10/2016 20:30:00,Round 2,Classictetris,,1,0,33,13,,CHRIS K,CHARLESSPARKLEY
161,HARRY,2,0,QUAID,,GDQ Hotfix,2016,09/10/2016 21:00:00,Losers Round 2,Classictetris,,1,0,29,14,,CHRIS TANG,CHEEZ
162,JONAS,2,1,HARRY,,GDQ Hotfix,2016,09/10/2016 21:30:00,Final,Classictetris,,1,0,34,30,,CHRISSY FORD,CHEFGOBES
163,CHRIS BRADY,0,2,TREY HARRISON,,CTWC,2016,23/10/2016 18:00:00,Round 1,"Portland, Oregon",,0,1,10,15,,CHRISTIAN,CHENZIXUAN
